,Gubun,Actual,Predicted,Difference,TransactionDate,GPrice
30638,서울특별시강남구삼성동00160002_30,1.2820817003341682,1.2510606769209947,0.031021023413173587,2022-03-16,127500
29041,서울특별시강남구개포동01850000_70,2.053181898363033,1.7620555211872733,0.29112637717575995,2020-08-22,195000
7949,서울특별시강남구청담동01080000_80,1.5263859958698522,1.7857409033533544,-0.2593549074835022,2013-04-19,67750
12667,서울특별시강남구개포동00120000_50,1.199581280480282,1.1856007145780691,0.01398056590221275,2015-07-11,56800
29968,서울특별시강남구삼성동01420003_40,0.3042983324323781,0.48481290951861555,-0.18051457708623747,2021-04-26,32000
16296,서울특별시강남구개포동06560000_40,1.441459574814849,1.2845333244115416,0.15692625040330754,2016-06-20,79000
14784,서울특별시강남구수서동07360000_50,0.9333501043885882,1.0499483242376066,-0.11659821984901841,2015-02-11,42350
20477,서울특별시강남구개포동01410000_50,2.073349427596205,2.0371009752536335,0.03624845234257146,2017-03-28,116500
7536,서울특별시강남구수서동07380000_80,1.3547989753098613,1.335324915077951,0.01947406023191034,2013-10-07,59000
1433,서울특별시강남구수서동07360000_40,0.5760323604170725,0.842257505597551,-0.26622514518047846,2010-11-08,30000
25359,서울특별시강남구도곡동04670017_160,3.0487242886736268,3.983598502676435,-0.9348742140028081,2019-07-22,264500
24246,서울특별시강남구개포동00120000_40,1.5037562664529962,1.0270478006326673,0.4767084658203289,2018-08-25,107500
6149,서울특별시강남구압구정동04260000_110,2.5326844977646767,2.81137875754659,-0.2786942597819131,2013-01-24,117800
5576,서울특별시강남구대치동05030000_80,2.21355691043117,2.532455035688516,-0.31889812525734573,2012-11-27,102000
30033,서울특별시강남구역삼동07570000_80,2.4385394196141004,2.0255804777073516,0.41295894190674876,2021-09-09,274000
2973,서울특별시강남구개포동01890000_50,1.8733720992284768,1.8172495854054522,0.05612251382302458,2011-09-23,82500
4148,서울특별시강남구대치동03160000_80,1.983187416897649,1.9879183092238495,-0.004730892326200387,2011-06-17,89900
13047,서울특별시강남구개포동01890000_40,1.5055661597229764,1.4981117094026553,0.007454450320321104,2015-10-14,77000
24706,서울특별시강남구대치동10270000_80,3.4271654444742707,3.0019399154577364,0.4252255290165343,2018-08-27,245000
8223,서울특별시강남구대치동03160000_80,1.837015559742185,2.0375954396561817,-0.20057987991399684,2013-10-02,80000
5720,서울특별시강남구대치동03160000_80,1.7314701483010042,1.9679945675522827,-0.23652441925127854,2012-04-18,79000
6216,서울특별시강남구도곡동09640000_80,1.3114236637183383,1.7445911398653708,-0.43316747614703255,2013-11-23,60000
5394,서울특별시강남구역삼동07060020_40,0.4840269959177903,0.4243907422076766,0.05963625371011372,2012-06-15,20700
9248,서울특별시강남구도곡동05270000_80,2.3616702800813925,2.398134206849247,-0.03646392676785437,2014-02-24,107900
22675,서울특별시강남구대치동09850000_110,2.305353174563053,2.5904227201380383,-0.2850695455749852,2017-12-06,165000
7780,서울특별시강남구역삼동07540001_60,1.6583351943761264,1.4508261349873643,0.20750905938876207,2013-08-15,67750
12331,서울특별시강남구개포동06560000_40,1.2870754686255856,1.2211894833182422,0.06588598530734346,2015-02-14,58400
8819,서울특별시강남구압구정동04340000_110,3.0375007656290927,2.829907302669744,0.20759346295934877,2014-03-18,135000
2947,서울특별시강남구개포동01410000_60,2.003857695134346,2.294156326441157,-0.2902986313068108,2011-10-07,91000
27180,서울특별시강남구대치동03160000_80,2.181128294247152,2.332941833602725,-0.15181353935557285,2019-05-03,188000
20318,서울특별시강남구개포동01850000_70,1.8353127602536523,1.8780583686718102,-0.04274560841815789,2017-05-09,115000
3690,서울특별시강남구역삼동07550004_80,2.408138425994268,2.140118625994148,0.26801980000012016,2011-08-18,103000
13793,서울특별시강남구대치동03160000_80,1.983506715347649,2.0483329423121597,-0.06482622696451057,2015-02-28,90000
12784,서울특별시강남구개포동00120000_40,0.91947923578556,1.025576560194653,-0.10609732440909292,2015-05-02,44000
4699,서울특별시강남구개포동01890000_40,0.429579935527844,1.4468356833494718,-1.0172557478216278,2012-04-27,19600
12053,서울특별시강남구개포동01380000_40,1.3637277836175987,1.3933177287151466,-0.029589945097547865,2015-04-14,64000
2276,서울특별시강남구압구정동04560000_160,5.1669766227644,4.229210493005649,0.9377661297587512,2011-08-05,221000
3353,서울특별시강남구개포동01380000_40,1.4295027445054185,1.4677946264624995,-0.038291881957081,2011-01-21,67000
11968,서울특별시강남구역삼동07200025_30,0.4717945391452898,0.4449809821834824,0.026813556961807372,2015-01-07,21400
25238,서울특별시강남구도곡동05270000_60,1.59524010882438,2.2670499319087685,-0.6718098230843885,2019-05-18,137500
24176,서울특별시강남구개포동00120000_40,1.286574508299237,1.019151817365183,0.267422690934054,2018-07-26,89900
28162,서울특별시강남구도곡동04670000_160,3.494271686504634,4.023639695835553,-0.529368009330919,2020-05-28,283000
736,서울특별시강남구개포동01400000_30,1.22374505293806,1.0108893898446576,0.21285566309340243,2010-04-01,55000
30418,서울특별시강남구대치동03160000_80,2.6202691799864857,2.332941833602725,0.2873273463837607,2021-06-10,254000
7445,서울특별시강남구개포동06560000_50,1.3168669396272197,1.6684270454336008,-0.3515601058063811,2013-01-17,61250
16731,서울특별시강남구개포동01410000_40,1.638615504160334,1.6927964339042412,-0.05418092974390709,2016-03-15,80000
3068,서울특별시강남구개포동06560000_40,1.3472756793995282,1.3665425822207233,-0.019266902821195142,2011-07-23,63000
996,서울특별시강남구개포동01400000_30,1.034697405760118,1.048050279656876,-0.0133528738967581,2010-10-23,49700
